Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,169.40,168.80,169.50,+169.40,5,"6,341",879.36%,"13:08 ET",0.50,Put,0.01,0.00,0.01,unch,0,"3,733",0.00%,09/05/25
Call,168.65,168.45,168.95,+2.58,2,"1,872",481.32%,"10:23 ET",1.00,Put,0.01,0.00,0.01,unch,0,"1,650",0.00%,07/18/25
Call,169.74,166.75,168.75,unch,0,658,0.01%,09/03/25,1.50,Put,0.01,0.00,0.01,unch,0,31,0.00%,08/01/25
Call,164.49,166.25,168.15,unch,0,583,0.01%,09/05/25,2.00,Put,0.00,0.00,0.01,unch,0,141,0.00%,N/A
Call,175.25,165.80,167.75,unch,0,109,0.01%,08/25/25,2.50,Put,0.01,0.00,0.01,unch,0,362,0.00%,06/18/25
Call,170.44,165.30,167.75,unch,0,49,0.01%,08/29/25,3.00,Put,0.01,0.00,0.01,unch,0,"1,300",0.00%,09/05/25
Call,170.00,164.80,167.75,unch,0,7,359.21%,08/29/25,3.50,Put,0.00,0.00,0.01,unch,0,32,0.00%,N/A
Call,164.27,164.30,167.25,unch,0,5,342.45%,09/02/25,4.00,Put,0.01,0.00,0.01,unch,0,"6,221",0.00%,08/19/25
Call,0.00,163.80,166.75,unch,0,2,328.00%,N/A,4.50,Put,0.00,0.00,0.01,unch,0,"5,682",0.00%,N/A
Call,162.08,163.40,165.55,unch,0,207,0.01%,09/05/25,5.00,Put,0.01,0.00,0.01,unch,0,"3,308",0.00%,08/20/25
Call,0.00,162.80,165.40,unch,0,1,247.11%,N/A,5.50,Put,0.01,0.00,0.01,unch,0,53,0.00%,08/27/25
Call,0.00,162.30,165.30,unch,0,13,298.79%,N/A,6.00,Put,0.00,0.00,0.01,unch,0,"5,665",0.00%,N/A
Call,173.74,161.85,164.80,unch,0,75,293.97%,08/15/25,6.50,Put,0.00,0.00,0.01,unch,0,10,0.00%,N/A
Call,0.00,161.35,164.30,unch,0,12,285.24%,N/A,7.00,Put,0.00,0.00,0.01,unch,0,99,0.00%,N/A
Call,161.80,160.85,163.80,unch,0,223,277.19%,09/02/25,7.50,Put,0.01,0.00,0.01,unch,0,"3,401",0.00%,07/01/25
Call,149.43,160.35,163.30,unch,0,47,269.71%,06/27/25,8.00,Put,0.01,0.00,0.01,unch,0,168,0.00%,07/03/25
Call,132.00,159.85,162.80,unch,0,165,262.73%,06/03/25,8.50,Put,0.00,0.00,0.01,unch,0,54,0.00%,N/A
Call,165.85,159.35,162.30,unch,0,16,256.19%,08/21/25,9.00,Put,0.00,0.00,0.01,unch,0,319,0.00%,N/A
Call,0.00,158.85,161.85,unch,0,13,253.94%,N/A,9.50,Put,0.00,0.00,0.01,unch,0,311,0.00%,N/A
Call,172.22,158.45,161.25,unch,0,71,248.08%,08/11/25,10.00,Put,0.01,0.00,0.01,unch,0,"4,772",0.00%,07/16/25
Call,0.00,157.90,160.85,unch,0,10,246.13%,N/A,10.50,Put,0.02,0.00,0.01,unch,0,326,0.00%,07/17/25
Call,0.00,157.40,160.35,unch,0,14,240.82%,N/A,11.00,Put,0.02,0.00,0.01,unch,0,669,0.00%,05/29/25
Call,0.00,156.90,159.85,unch,0,1,235.76%,N/A,11.50,Put,0.01,0.00,0.01,unch,0,"1,113",0.00%,06/24/25
Call,165.68,156.40,159.35,unch,0,79,230.94%,08/22/25,12.00,Put,0.01,0.00,0.01,unch,0,"1,545",0.00%,06/10/25
Call,0.00,155.90,158.85,unch,0,51,226.32%,N/A,12.50,Put,0.00,0.00,0.01,unch,0,110,0.00%,N/A
Call,0.00,155.40,158.40,unch,0,0,225.16%,N/A,13.00,Put,0.01,0.00,0.01,unch,0,"1,204",0.00%,06/10/25
Call,156.16,154.90,157.90,unch,0,815,220.89%,07/23/25,13.50,Put,0.01,0.00,0.01,unch,0,"6,960",0.00%,08/25/25
Call,149.88,154.40,157.40,unch,0,251,216.78%,07/10/25,14.00,Put,0.01,0.00,0.01,unch,0,"4,012",0.00%,08/12/25
Call,0.00,153.95,156.90,unch,0,215,215.86%,N/A,14.50,Put,0.03,0.00,0.01,unch,0,"7,231",0.00%,05/28/25
